Week,DOM,Treatment,Rep,Comment,Value,Variable,Units
5,HDOM,C,3,before,1.896243426,Community.Respiration,umol O2 L-1 h-1
6,HDOM,C,3,before,0.171460185,Community.Respiration,umol O2 L-1 h-1
1,LDOM,C,3,before,0.3769686,Community.Respiration,umol O2 L-1 h-1
2,LDOM,C,3,before,0.25667556,Community.Respiration,umol O2 L-1 h-1
3,LDOM,C,3,before,0.121298376,Community.Respiration,umol O2 L-1 h-1
4,LDOM,C,3,before,0.001,Community.Respiration,umol O2 L-1 h-1
5,LDOM,C,3,before,0.001,Community.Respiration,umol O2 L-1 h-1
6,LDOM,C,3,before,0.164625684,Community.Respiration,umol O2 L-1 h-1
1,HDOM,D,3,before,0.58910208,Community.Respiration,umol O2 L-1 h-1
2,HDOM,D,3,before,0.21769032,Community.Respiration,umol O2 L-1 h-1
3,HDOM,D,3,before,0.363583068,Community.Respiration,umol O2 L-1 h-1
4,HDOM,D,3,before,0.001,Community.Respiration,umol O2 L-1 h-1
5,HDOM,D,3,before,0.001,Community.Respiration,umol O2 L-1 h-1
6,HDOM,D,3,before,0.354319977,Community.Respiration,umol O2 L-1 h-1
1,LDOM,D,3,before,0.001,Community.Respiration,umol O2 L-1 h-1
2,LDOM,D,3,before,0.31150962,Community.Respiration,umol O2 L-1 h-1
3,LDOM,D,3,before,0.234583659,Community.Respiration,umol O2 L-1 h-1
4,LDOM,D,3,before,0.240414912,Community.Respiration,umol O2 L-1 h-1
5,LDOM,D,3,before,0.027840684,Community.Respiration,umol O2 L-1 h-1
6,LDOM,D,3,before,0.202151793,Community.Respiration,umol O2 L-1 h-1
1,HDOM,C,1,after,0.490349139,Bacterial.production,ugC L-1 d-1
2,HDOM,C,1,after,0.373236892,Bacterial.production,ugC L-1 d-1
3,HDOM,C,1,after,1.435039403,Bacterial.production,ugC L-1 d-1
4,HDOM,C,1,after,1.753790572,Bacterial.production,ugC L-1 d-1
5,HDOM,C,1,after,2.418913594,Bacterial.production,ugC L-1 d-1
6,HDOM,C,1,after,1.52947565,Bacterial.production,ugC L-1 d-1
1,LDOM,C,1,after,0.061072329,Bacterial.production,ugC L-1 d-1
2,LDOM,C,1,after,0.033328385,Bacterial.production,ugC L-1 d-1
3,LDOM,C,1,after,0.35195626,Bacterial.production,ugC L-1 d-1
4,LDOM,C,1,after,0.5091185,Bacterial.production,ugC L-1 d-1
5,LDOM,C,1,after,0.583118227,Bacterial.production,ugC L-1 d-1
6,LDOM,C,1,after,0.298425492,Bacterial.production,ugC L-1 d-1
1,HDOM,D,1,after,0.663890558,Bacterial.production,ugC L-1 d-1
2,HDOM,D,1,after,0.44244558,Bacterial.production,ugC L-1 d-1
3,HDOM,D,1,after,1.12148373,Bacterial.production,ugC L-1 d-1
4,HDOM,D,1,after,1.710250982,Bacterial.production,ugC L-1 d-1
5,HDOM,D,1,after,1.45804846,Bacterial.production,ugC L-1 d-1
6,HDOM,D,1,after,0.931411121,Bacterial.production,ugC L-1 d-1
1,LDOM,D,1,after,0.032834634,Bacterial.production,ugC L-1 d-1
2,LDOM,D,1,after,0.027930284,Bacterial.production,ugC L-1 d-1
3,LDOM,D,1,after,0.100019209,Bacterial.production,ugC L-1 d-1
4,LDOM,D,1,after,0.445465065,Bacterial.production,ugC L-1 d-1
5,LDOM,D,1,after,0.57929786,Bacterial.production,ugC L-1 d-1
6,LDOM,D,1,after,0.148680542,Bacterial.production,ugC L-1 d-1
1,HDOM,C,2,after,0.505668917,Bacterial.production,ugC L-1 d-1
2,HDOM,C,2,after,0.561133595,Bacterial.production,ugC L-1 d-1
3,HDOM,C,2,after,1.683292751,Bacterial.production,ugC L-1 d-1
4,HDOM,C,2,after,2.576149801,Bacterial.production,ugC L-1 d-1
5,HDOM,C,2,after,2.084294591,Bacterial.production,ugC L-1 d-1
6,HDOM,C,2,after,1.453274774,Bacterial.production,ugC L-1 d-1
1,LDOM,C,2,after,0.04063888,Bacterial.production,ugC L-1 d-1
2,LDOM,C,2,after,0.02,Bacterial.production,ugC L-1 d-1
3,LDOM,C,2,after,0.096508261,Bacterial.production,ugC L-1 d-1
4,LDOM,C,2,after,0.213078567,Bacterial.production,ugC L-1 d-1
5,LDOM,C,2,after,0.310584576,Bacterial.production,ugC L-1 d-1
6,LDOM,C,2,after,0.150748193,Bacterial.production,ugC L-1 d-1
1,HDOM,D,2,after,0.428787909,Bacterial.production,ugC L-1 d-1
2,HDOM,D,2,after,0.349924397,Bacterial.production,ugC L-1 d-1
3,HDOM,D,2,after,1.655734173,Bacterial.production,ugC L-1 d-1
4,HDOM,D,2,after,2.483065468,Bacterial.production,ugC L-1 d-1
5,HDOM,D,2,after,1.774782522,Bacterial.production,ugC L-1 d-1
6,HDOM,D,2,after,1.112713365,Bacterial.production,ugC L-1 d-1
1,LDOM,D,2,after,0.074259064,Bacterial.production,ugC L-1 d-1
2,LDOM,D,2,after,0.005998069,Bacterial.production,ugC L-1 d-1
3,LDOM,D,2,after,0.098224459,Bacterial.production,ugC L-1 d-1
4,LDOM,D,2,after,0.2392356,Bacterial.production,ugC L-1 d-1
5,LDOM,D,2,after,0.044531096,Bacterial.production,ugC L-1 d-1
6,LDOM,D,2,after,0.112551861,Bacterial.production,ugC L-1 d-1
1,HDOM,C,3,after,0.36900702,Bacterial.production,ugC L-1 d-1
2,HDOM,C,3,after,0.277173834,Bacterial.production,ugC L-1 d-1
3,HDOM,C,3,after,0.481795802,Bacterial.production,ugC L-1 d-1
4,HDOM,C,3,after,2.227829786,Bacterial.production,ugC L-1 d-1
5,HDOM,C,3,after,0.066338701,Bacterial.production,ugC L-1 d-1
6,HDOM,C,3,after,0.782636816,Bacterial.production,ugC L-1 d-1
1,LDOM,C,3,after,0.05917105,Bacterial.production,ugC L-1 d-1
2,LDOM,C,3,after,0.049599759,Bacterial.production,ugC L-1 d-1
3,LDOM,C,3,after,0.929261634,Bacterial.production,ugC L-1 d-1
4,LDOM,C,3,after,0.783204939,Bacterial.production,ugC L-1 d-1
5,LDOM,C,3,after,0.658467505,Bacterial.production,ugC L-1 d-1
6,LDOM,C,3,after,0.355348737,Bacterial.production,ugC L-1 d-1
1,HDOM,D,3,after,0.393069667,Bacterial.production,ugC L-1 d-1
2,HDOM,D,3,after,0.232673561,Bacterial.production,ugC L-1 d-1
3,HDOM,D,3,after,0.878359504,Bacterial.production,ugC L-1 d-1
4,HDOM,D,3,after,1.848583268,Bacterial.production,ugC L-1 d-1
5,HDOM,D,3,after,1.106384131,Bacterial.production,ugC L-1 d-1
6,HDOM,D,3,after,0.656393586,Bacterial.production,ugC L-1 d-1
1,LDOM,D,3,after,0.033228974,Bacterial.production,ugC L-1 d-1
2,LDOM,D,3,after,0.050028634,Bacterial.production,ugC L-1 d-1
3,LDOM,D,3,after,0.392885829,Bacterial.production,ugC L-1 d-1
4,LDOM,D,3,after,0.768709732,Bacterial.production,ugC L-1 d-1
5,LDOM,D,3,after,0.566554121,Bacterial.production,ugC L-1 d-1
6,LDOM,D,3,after,0.431599155,Bacterial.production,ugC L-1 d-1
1,HDOM,C,1,before,0.664065317,Bacterial.production,ugC L-1 d-1
2,HDOM,C,1,before,0.550962536,Bacterial.production,ugC L-1 d-1
3,HDOM,C,1,before,1.253109413,Bacterial.production,ugC L-1 d-1
4,HDOM,C,1,before,0.969861794,Bacterial.production,ugC L-1 d-1
5,HDOM,C,1,before,2.48121688,Bacterial.production,ugC L-1 d-1
6,HDOM,C,1,before,1.480833357,Bacterial.production,ugC L-1 d-1
1,LDOM,C,1,before,0.030467424,Bacterial.production,ugC L-1 d-1
2,LDOM,C,1,before,0.020207082,Bacterial.production,ugC L-1 d-1
3,LDOM,C,1,before,0.311963344,Bacterial.production,ugC L-1 d-1
4,LDOM,C,1,before,0.234410137,Bacterial.production,ugC L-1 d-1
5,LDOM,C,1,before,0.708837152,Bacterial.production,ugC L-1 d-1
6,LDOM,C,1,before,0.294571454,Bacterial.production,ugC L-1 d-1
1,HDOM,D,1,before,0.643259659,Bacterial.production,ugC L-1 d-1
2,HDOM,D,1,before,0.612126545,Bacterial.production,ugC L-1 d-1
3,HDOM,D,1,before,1.210917517,Bacterial.production,ugC L-1 d-1
4,HDOM,D,1,before,0.842363493,Bacterial.production,ugC L-1 d-1
5,HDOM,D,1,before,1.940851225,Bacterial.production,ugC L-1 d-1
6,HDOM,D,1,before,0.984569197,Bacterial.production,ugC L-1 d-1
1,LDOM,D,1,before,0.051399386,Bacterial.production,ugC L-1 d-1
2,LDOM,D,1,before,0.02965054,Bacterial.production,ugC L-1 d-1
3,LDOM,D,1,before,0.209180692,Bacterial.production,ugC L-1 d-1
4,LDOM,D,1,before,0.312347566,Bacterial.production,ugC L-1 d-1
5,LDOM,D,1,before,0.727735022,Bacterial.production,ugC L-1 d-1
6,LDOM,D,1,before,0.217451404,Bacterial.production,ugC L-1 d-1
1,HDOM,C,2,before,0.412394428,Bacterial.production,ugC L-1 d-1
2,HDOM,C,2,before,0.709421305,Bacterial.production,ugC L-1 d-1
3,HDOM,C,2,before,2.571822197,Bacterial.production,ugC L-1 d-1
4,HDOM,C,2,before,1.108405455,Bacterial.production,ugC L-1 d-1
5,HDOM,C,2,before,2.228461061,Bacterial.production,ugC L-1 d-1
6,HDOM,C,2,before,1.452408048,Bacterial.production,ugC L-1 d-1
1,LDOM,C,2,before,0.076204327,Bacterial.production,ugC L-1 d-1
2,LDOM,C,2,before,0.022674138,Bacterial.production,ugC L-1 d-1
3,LDOM,C,2,before,0.083136876,Bacterial.production,ugC L-1 d-1
4,LDOM,C,2,before,0.117924694,Bacterial.production,ugC L-1 d-1
5,LDOM,C,2,before,0.354266273,Bacterial.production,ugC L-1 d-1
6,LDOM,C,2,before,0.125715074,Bacterial.production,ugC L-1 d-1
1,HDOM,D,2,before,0.417627698,Bacterial.production,ugC L-1 d-1
2,HDOM,D,2,before,0.567797426,Bacterial.production,ugC L-1 d-1
3,HDOM,D,2,before,2.471216932,Bacterial.production,ugC L-1 d-1
4,HDOM,D,2,before,1.085192867,Bacterial.production,ugC L-1 d-1
5,HDOM,D,2,before,2.079362987,Bacterial.production,ugC L-1 d-1
6,HDOM,D,2,before,1.478493752,Bacterial.production,ugC L-1 d-1
1,LDOM,D,2,before,0.053345376,Bacterial.production,ugC L-1 d-1
2,LDOM,D,2,before,0.027019175,Bacterial.production,ugC L-1 d-1
3,LDOM,D,2,before,0.092654577,Bacterial.production,ugC L-1 d-1
4,LDOM,D,2,before,0.169986901,Bacterial.production,ugC L-1 d-1
5,LDOM,D,2,before,0.075563156,Bacterial.production,ugC L-1 d-1
6,LDOM,D,2,before,0.182621651,Bacterial.production,ugC L-1 d-1
1,HDOM,C,3,before,0.409194331,Bacterial.production,ugC L-1 d-1
2,HDOM,C,3,before,0.394417043,Bacterial.production,ugC L-1 d-1
3,HDOM,C,3,before,0.541371586,Bacterial.production,ugC L-1 d-1
4,HDOM,C,3,before,1.044392689,Bacterial.production,ugC L-1 d-1
5,HDOM,C,3,before,0.065012139,Bacterial.production,ugC L-1 d-1
6,HDOM,C,3,before,0.631735327,Bacterial.production,ugC L-1 d-1
1,LDOM,C,3,before,0.047744369,Bacterial.production,ugC L-1 d-1
2,LDOM,C,3,before,0.062814008,Bacterial.production,ugC L-1 d-1
3,LDOM,C,3,before,0.897635447,Bacterial.production,ugC L-1 d-1
4,LDOM,C,3,before,0.30124804,Bacterial.production,ugC L-1 d-1
5,LDOM,C,3,before,0.634648984,Bacterial.production,ugC L-1 d-1
6,LDOM,C,3,before,0.218709909,Bacterial.production,ugC L-1 d-1
1,HDOM,D,3,before,0.512673809,Bacterial.production,ugC L-1 d-1
2,HDOM,D,3,before,0.358350798,Bacterial.production,ugC L-1 d-1
3,HDOM,D,3,before,1.004509981,Bacterial.production,ugC L-1 d-1
4,HDOM,D,3,before,0.972745914,Bacterial.production,ugC L-1 d-1
5,HDOM,D,3,before,1.342758644,Bacterial.production,ugC L-1 d-1
6,HDOM,D,3,before,0.769158845,Bacterial.production,ugC L-1 d-1
1,LDOM,D,3,before,0.049074482,Bacterial.production,ugC L-1 d-1
2,LDOM,D,3,before,0.071756022,Bacterial.production,ugC L-1 d-1
3,LDOM,D,3,before,0.596241985,Bacterial.production,ugC L-1 d-1
4,LDOM,D,3,before,0.316004475,Bacterial.production,ugC L-1 d-1
5,LDOM,D,3,before,0.723306005,Bacterial.production,ugC L-1 d-1
6,LDOM,D,3,before,0.251303644,Bacterial.production,ugC L-1 d-1
